user_id,profile_id,day,day_of_week,time
277,242,8,5,11:42:28
462,85,8,5,11:43:11
253,108,8,5,11:43:49
253,108,8,5,11:43:52
18,265,8,5,12:02:24
18,265,8,5,12:02:27
208,208,8,5,12:19:48
225,390,8,5,12:49:17
225,224,8,5,12:49:21
225,228,8,5,12:49:34
225,295,8,5,12:49:37
320,206,8,5,13:09:11
320,206,8,5,13:09:25
320,206,8,5,13:09:26
69,403,8,5,13:27:35
350,256,8,5,13:28:02
167,44,8,5,13:34:23
339,85,8,5,13:40:22
179,357,8,5,13:52:10
179,66,8,5,13:53:33
179,44,8,5,13:53:52
306,432,8,5,14:04:38
257,110,8,5,15:05:34
171,171,8,5,15:05:51
113,113,8,5,15:10:06
441,143,8,5,15:12:53
248,171,8,5,15:13:32
39,39,8,5,15:15:23
443,170,8,5,15:22:16
156,279,8,5,15:25:02
206,86,8,5,15:27:02
180,180,8,5,16:08:27
309,112,8,5,16:13:55
309,112,8,5,16:13:58
274,171,8,5,16:58:17
63,63,8,5,17:51:38
283,344,8,5,17:52:37
24,33,8,5,18:50:05
24,33,8,5,18:50:10
76,465,8,5,18:50:35
317,317,8,5,18:53:01
219,59,8,5,18:55:55
354,354,8,5,19:05:13
140,140,8,5,19:07:02
140,140,8,5,19:07:08
345,350,8,5,19:52:06
44,44,8,5,21:44:34
345,177,8,5,21:56:53
242,242,8,5,22:01:24
255,255,8,5,22:14:50
255,255,8,5,22:15:18
32,70,8,5,22:16:30
404,373,8,5,22:40:16
307,259,8,5,22:45:52
237,354,8,5,22:48:51
254,315,8,5,23:24:35
254,315,8,5,23:24:39
254,315,8,5,23:24:43
254,315,8,5,23:24:47
359,312,8,5,23:30:49
241,299,9,6,00:01:14
15,354,9,6,00:03:57
351,351,9,6,00:04:06
294,238,9,6,00:11:41
323,399,9,6,00:12:17
281,281,9,6,00:15:35
103,109,9,6,00:22:08
450,182,9,6,00:27:03
450,182,9,6,00:27:05
416,231,9,6,00:54:30
110,228,9,6,06:07:49
392,203,9,6,06:31:30
332,203,9,6,06:52:47
456,448,9,6,07:31:24
140,274,9,6,07:34:42
102,451,9,6,07:53:33
248,238,9,6,08:21:29
248,238,9,6,08:21:32
458,458,9,6,08:27:17
120,263,9,6,09:38:30
393,315,9,6,10:06:14
216,314,9,6,11:18:52
76,108,9,6,11:23:16
154,154,9,6,11:42:42
80,251,9,6,11:52:24
80,251,9,6,11:52:38
112,112,9,6,11:52:50
69,69,9,6,12:09:44
465,310,9,6,12:39:44
231,231,9,6,12:51:28
208,412,9,6,12:55:54
208,412,9,6,12:56:01
142,142,9,6,13:28:36
155,155,9,6,13:43:05
39,51,9,6,13:52:28
36,195,9,6,13:53:35
380,67,9,6,14:31:55
380,228,9,6,14:31:59
380,228,9,6,14:32:01
233,222,9,6,15:06:43
185,405,9,6,15:14:41
74,74,9,6,15:40:12
74,74,9,6,15:40:17
74,74,9,6,15:40:21
150,382,9,6,15:59:21
261,393,9,6,16:08:10
440,379,9,6,16:09:24
440,379,9,6,16:09:26
12,91,9,6,16:26:25
12,294,9,6,16:26:27
12,449,9,6,16:26:29
198,25,9,6,16:31:47
122,122,9,6,16:49:59
304,177,9,6,17:36:22
143,88,9,6,17:37:34
396,177,9,6,17:54:43
164,465,9,6,18:09:11
358,212,9,6,18:37:51
16,219,9,6,19:59:17
220,280,9,6,20:19:03
105,280,9,6,21:07:52
105,280,9,6,21:07:58
19,177,9,6,21:30:19
331,89,9,6,22:27:07
120,218,9,6,22:27:15
278,161,9,6,23:13:07
352,352,10,7,00:04:45
307,213,10,7,00:18:45
216,177,10,7,00:32:51
290,367,10,7,01:00:41
188,246,10,7,01:03:25
49,49,10,7,01:49:02
49,415,10,7,01:49:21
355,355,10,7,05:18:53
438,297,10,7,06:24:58
305,305,10,7,06:26:04
442,231,10,7,07:20:26
440,100,10,7,07:40:08
440,100,10,7,07:40:10
354,354,10,7,07:48:10
354,354,10,7,07:48:13
394,413,10,7,09:07:37
402,402,10,7,09:17:22
402,402,10,7,09:17:24
402,402,10,7,09:17:30
119,150,10,7,09:19:50
351,102,10,7,09:26:11
453,145,10,7,09:45:15
429,429,10,7,09:45:22
76,107,10,7,09:49:07
208,410,10,7,09:58:24
409,392,10,7,10:09:45
34,138,10,7,10:56:47
308,63,10,7,11:00:21
78,348,10,7,11:04:25
31,449,10,7,11:04:27
411,111,10,7,11:44:25
352,352,10,7,13:42:38
352,352,10,7,13:42:57
404,100,10,7,14:27:58
404,100,10,7,14:28:01
198,25,10,7,14:29:50
