user_id,day,day_of_week,time
9,5,2,23:37:14
171,6,3,00:01:27
406,6,3,00:02:33
375,6,3,00:06:59
52,6,3,00:07:07
266,6,3,00:07:09
90,6,3,00:08:25
122,6,3,00:11:26
415,6,3,00:12:59
244,6,3,00:16:24
120,6,3,00:19:33
120,6,3,00:20:18
72,6,3,00:20:56
51,6,3,00:24:22
408,6,3,00:28:52
202,6,3,00:37:31
202,6,3,00:37:39
97,6,3,00:40:27
115,6,3,00:54:18
220,6,3,01:01:10
179,6,3,01:11:19
217,6,3,01:23:55
217,6,3,01:24:18
320,6,3,02:19:48
238,6,3,03:04:48
238,6,3,03:05:44
30,6,3,06:52:42
115,6,3,07:04:16
115,6,3,07:04:18
320,6,3,08:08:50
204,6,3,08:14:59
408,6,3,08:41:03
406,6,3,08:42:30
247,6,3,08:54:07
120,6,3,09:02:22
314,6,3,09:04:09
314,6,3,09:04:16
268,6,3,09:06:57
258,6,3,09:10:45
327,6,3,09:11:45
312,6,3,09:14:10
367,6,3,09:28:38
395,6,3,09:29:09
367,6,3,09:29:11
217,6,3,09:31:25
406,6,3,09:32:46
82,6,3,09:35:08
275,6,3,09:35:23
153,6,3,09:43:25
247,6,3,09:44:04
122,6,3,09:53:22
375,6,3,09:55:28
223,6,3,09:57:42
121,6,3,10:22:56
308,6,3,10:29:08
406,6,3,10:33:01
63,6,3,10:42:53
168,6,3,10:50:42
408,6,3,10:51:11
112,6,3,10:58:30
411,6,3,11:03:23
148,6,3,11:06:42
409,6,3,11:09:25
409,6,3,11:09:46
265,6,3,11:10:29
54,6,3,11:11:09
248,6,3,11:12:16
248,6,3,11:12:24
42,6,3,11:24:49
18,6,3,11:28:38
5,6,3,11:32:34
5,6,3,11:32:56
247,6,3,11:36:30
406,6,3,11:43:46
120,6,3,11:45:09
217,6,3,11:48:27
217,6,3,11:48:43
45,6,3,11:55:05
123,6,3,12:10:52
36,6,3,12:24:39
64,6,3,12:29:37
135,6,3,12:30:28
3,6,3,13:21:25
375,6,3,13:58:13
120,6,3,14:07:39
104,6,3,14:43:44
406,6,3,15:33:49
261,6,3,15:37:11
261,6,3,15:37:26
7,6,3,16:17:01
392,6,3,16:20:18
338,6,3,16:46:12
292,6,3,16:56:06
434,6,3,17:23:20
179,6,3,17:35:24
409,6,3,17:41:03
315,6,3,17:58:48
320,6,3,18:35:27
432,6,3,19:22:41
120,6,3,19:28:38
406,6,3,19:55:35
66,6,3,19:57:38
282,6,3,20:05:25
120,6,3,21:15:09
375,6,3,21:16:12
120,6,3,21:49:48
42,6,3,21:59:06
418,6,3,22:04:12
185,6,3,22:05:54
219,6,3,22:06:42
173,6,3,22:06:49
173,6,3,22:06:58
88,6,3,22:12:05
327,6,3,22:14:09
307,6,3,22:14:52
359,6,3,22:36:17
71,6,3,22:49:01
287,6,3,22:52:15
120,6,3,22:56:54
120,6,3,22:58:25
120,6,3,22:59:30
315,6,3,23:06:50
315,6,3,23:06:58
406,7,4,00:00:36
320,7,4,00:03:12
179,7,4,00:25:19
248,7,4,00:28:00
115,7,4,00:31:02
36,7,4,00:49:48
375,7,4,00:52:07
36,7,4,00:58:13
91,7,4,01:09:43
175,7,4,01:51:39
300,7,4,06:50:15
359,7,4,07:08:40
185,7,4,07:14:31
331,7,4,07:17:26
269,7,4,07:49:06
406,7,4,08:11:43
388,7,4,08:12:13
115,7,4,08:38:15
120,7,4,08:39:02
350,7,4,08:48:18
350,7,4,08:48:43
217,7,4,08:51:57
217,7,4,08:52:05
76,7,4,08:52:47
34,7,4,09:10:09
359,7,4,09:25:28
86,7,4,09:30:09
116,7,4,09:57:01
120,7,4,09:59:37
193,7,4,10:14:40
359,7,4,10:20:46
359,7,4,10:20:58
359,7,4,10:21:07
457,7,4,10:21:19
202,7,4,10:26:43
327,7,4,10:27:15
245,7,4,10:29:08
3,7,4,10:29:19
320,7,4,10:33:54
450,7,4,10:35:47
450,7,4,10:37:42
143,7,4,10:38:05
411,7,4,10:38:35
238,7,4,10:42:17
336,7,4,10:44:56
131,7,4,10:50:16
284,7,4,10:55:46
102,7,4,11:11:51
217,7,4,11:17:22
312,7,4,11:19:43
338,7,4,11:27:56
7,7,4,11:39:35
90,7,4,11:41:48
90,7,4,11:41:50
57,7,4,11:44:06
363,7,4,11:47:31
120,7,4,11:58:46
406,7,4,12:06:17
179,7,4,12:06:22
179,7,4,12:07:48
251,7,4,12:25:16
179,7,4,12:32:21
222,7,4,12:34:16
266,7,4,12:54:34
222,7,4,13:02:17
85,7,4,13:07:12
120,7,4,13:07:53
125,7,4,13:12:47
306,7,4,13:12:59
363,7,4,13:21:54
456,7,4,13:23:18
375,7,4,13:26:05
307,7,4,13:35:13
307,7,4,13:35:15
345,7,4,13:57:36
406,7,4,13:59:09
65,7,4,14:17:05
65,7,4,14:20:07
120,7,4,14:45:50
115,7,4,15:03:31
451,7,4,15:04:41
363,7,4,15:04:49
120,7,4,15:06:20
238,7,4,15:09:31
238,7,4,15:09:34
465,7,4,15:26:05
412,7,4,15:27:27
412,7,4,15:27:40
147,7,4,15:34:59
307,7,4,15:38:23
307,7,4,15:38:36
331,7,4,15:40:18
374,7,4,15:54:27
219,7,4,16:10:03
36,7,4,16:12:42
237,7,4,16:14:07
320,7,4,16:25:14
338,7,4,16:39:51
408,7,4,16:58:20
233,7,4,17:00:49
49,7,4,17:01:33
363,7,4,17:02:43
122,7,4,17:16:44
217,7,4,17:24:12
115,7,4,17:29:22
460,7,4,17:33:04
65,7,4,18:08:57
375,7,4,18:11:59
410,7,4,18:37:19
193,7,4,18:46:50
360,7,4,18:47:39
412,7,4,18:50:27
86,7,4,18:53:01
120,7,4,18:55:09
375,7,4,19:05:10
356,7,4,19:18:48
63,7,4,19:32:06
63,7,4,19:41:42
138,7,4,19:44:13
338,7,4,19:50:24
331,7,4,20:39:02
307,7,4,21:17:57
307,7,4,21:18:05
216,7,4,21:32:19
258,7,4,21:35:28
274,7,4,21:36:14
163,7,4,21:38:37
338,7,4,22:07:19
96,7,4,22:12:57
255,7,4,22:15:44
327,7,4,22:16:11
85,7,4,22:28:38
120,7,4,22:38:57
331,7,4,22:55:46
375,7,4,23:15:10
320,7,4,23:16:45
63,7,4,23:17:20
42,8,5,00:01:27
406,8,5,00:03:05
408,8,5,00:05:32
115,8,5,00:10:50
163,8,5,01:47:24
179,8,5,02:16:31
179,8,5,02:16:43
406,8,5,07:39:10
412,8,5,07:49:14
115,8,5,09:13:24
245,8,5,09:42:15
327,8,5,09:49:10
327,8,5,09:49:20
91,8,5,09:53:09
307,8,5,09:53:46
307,8,5,09:53:57
406,8,5,09:57:24
120,8,5,10:13:19
120,8,5,10:13:56
63,8,5,10:37:50
320,8,5,10:44:13
312,8,5,10:46:37
363,8,5,10:47:01
225,8,5,10:48:19
222,8,5,10:53:34
120,8,5,11:03:57
408,8,5,11:12:47
455,8,5,11:30:09
350,8,5,11:35:56
350,8,5,11:36:07
115,8,5,11:36:28
120,8,5,11:52:19
375,8,5,11:54:52
375,8,5,11:55:33
86,8,5,11:56:14
86,8,5,11:56:26
86,8,5,11:56:31
86,8,5,11:56:57
406,8,5,11:58:16
247,8,5,12:13:10
254,8,5,12:36:24
163,8,5,12:41:37
1,8,5,12:50:06
1,8,5,12:50:51
63,8,5,13:24:03
331,8,5,14:59:11
310,8,5,15:01:56
115,8,5,15:03:34
120,8,5,15:04:20
221,8,5,15:07:02
150,8,5,15:09:22
401,8,5,15:12:56
253,8,5,15:17:21
120,8,5,15:19:26
253,8,5,15:20:04
43,8,5,15:23:32
49,8,5,15:33:07
327,8,5,15:34:48
388,8,5,15:39:50
464,8,5,15:39:56
375,8,5,15:52:50
50,8,5,15:58:23
433,8,5,16:11:45
433,8,5,16:11:52
309,8,5,16:14:03
358,8,5,16:18:01
